Date Scraped,Title,news_summary,news_card_image,Date Published,Link,Publication,Author,text,id,predicted_category,similarity,cluster,cluster_size
19/09/2025,The live wire buried under the 2035 target Albanese didn't dare touch,"The government is keenly aware that the cost of the transition is a sensitive issue, which is why the prime minister was flanked not just by his climate minister but also his treasurer.",https://live-production.wcms.abc-cdn.net.au/abd0fb50447e7b330b46a4de0bbdd294?impolicy=wcms_crop_resize&cropH=1951&cropW=1464&xPos=2066&yPos=499&width=862&height=1149,2025-09-18T07:12:03.000Z,https://www.abc.net.au/news/2025-09-18/2035-target-energy-debate-power-prices/105787072,ABC News,Jake Evans,"The live wire buried under the 2035 target Albanese didn't dare touch 

 The government is keenly aware that the cost of the transition is a sensitive issue, which is why the prime minister was flanked not just by his climate minister but also his treasurer.",0,politics,0.4782830476760864,-1,46
19/09/2025,"Trump confirms Albanese meeting, Coalition's net-zero debate rolls on","This week in politics, the prime minister returned home from the Pacific empty-handed and the climate debate continued to unsettle the Coalition.",https://live-production.wcms.abc-cdn.net.au/46d5192753fc7cf8b1dd669cc651149c?impolicy=wcms_crop_resize&cropH=600&cropW=450&xPos=175&yPos=0&width=862&height=1149,2025-09-18T06:00:29.000Z,https://www.abc.net.au/news/2025-09-18/anthony-albanese-png-coalition-climate/105767026,ABC News,Brett Worthington,"Trump confirms Albanese meeting, Coalition's net-zero debate rolls on 

 This week in politics, the prime minister returned home from the Pacific empty-handed and the climate debate continued to unsettle the Coalition.",1,politics,0.4207431674003601,-1,46
19/09/2025,The easiest and most effective ways to clean windows and fly screens,"Windows and fly screens are often the first things we see when we walk into a home, but rarely at the top of the spring-cleaning to-do list. Experts share their tips on the easiest and most effective ways to clean them.",https://live-production.wcms.abc-cdn.net.au/a0cd0670754a97e541c889a31451f522?impolicy=wcms_crop_resize&cropH=533&cropW=400&xPos=400&yPos=0&width=862&height=1149,2025-09-18T04:12:05.000Z,https://www.abc.net.au/news/2025-09-18/what-are-the-best-ways-to-clean-windows-and-fly-screens/105757576,ABC News,Daniel Johnson,"The easiest and most effective ways to clean windows and fly screens 

 Windows and fly screens are often the first things we see when we walk into a home, but rarely at the top of the spring-cleaning to-do list. Experts share their tips on the easiest and most effective ways to clean them.",2,lifestyle,0.5442380905151367,0,51
19/09/2025,"Five minutes, no heartbeat: How nearly dying changed how Emily chooses to live","What happens when we die? We might not have the answers, but a near-death experience can provide some clues.",,2025-09-17T19:00:00.000Z,https://www.smh.com.au/lifestyle/life-and-relationships/five-minutes-no-heartbeat-how-nearly-dying-changed-how-emily-chooses-to-live-20250904-p5msfd.html?ref=rss&utm_medium=rss&utm_source=rss_lifestyle,Sydney Morning Herald,Shona Hendley,"Five minutes, no heartbeat: How nearly dying changed how Emily chooses to live 

 What happens when we die? We might not have the answers, but a near-death experience can provide some clues.",3,lifestyle,0.4867173433303833,0,51
19/09/2025,Donald Trump meets with UK Royal Family,US President Donald Trump has met with the royal family at Windsor Castle as he lands for UK state visit.,,2025-09-17T19:13:07.000Z,https://www.smh.com.au/lifestyle/donald-trump-meets-with-uk-royal-family-20250918-p5mvz5.html?ref=rss&utm_medium=rss&utm_source=rss_lifestyle,Sydney Morning Herald,,"Donald Trump meets with UK Royal Family 

 US President Donald Trump has met with the royal family at Windsor Castle as he lands for UK state visit.",4,politics,0.47590965032577515,2,32
19/09/2025,Donald Trump and royals arrive for state banquet,"US President Donald Trump, Queen Camilla and other members of the Royal Family arrive for the state banquet inside Windsor Castle.",,2025-09-17T20:12:53.000Z,https://www.smh.com.au/lifestyle/donald-trump-and-royals-arrive-for-state-banquet-20250918-p5mvzc.html?ref=rss&utm_medium=rss&utm_source=rss_lifestyle,Sydney Morning Herald,,"Donald Trump and royals arrive for state banquet 

 US President Donald Trump, Queen Camilla and other members of the Royal Family arrive for the state banquet inside Windsor Castle.",5,politics,0.452067494392395,2,32
19/09/2025,King Charles hosts state banquet for Donald Trump,"Daily Mirror Royal Editor Russell Myers on President Donald Trump's historic state visit to the UK, where the royals are hosting the first couple with a banquet at Windsor Castle.",,2025-09-17T21:29:54.000Z,https://www.smh.com.au/lifestyle/king-charles-hosts-state-banquet-for-donald-trump-20250918-p5mvzp.html?ref=rss&utm_medium=rss&utm_source=rss_lifestyle,Sydney Morning Herald,,"King Charles hosts state banquet for Donald Trump 

 Daily Mirror Royal Editor Russell Myers on President Donald Trump's historic state visit to the UK, where the royals are hosting the first couple with a banquet at Windsor Castle.",6,politics,0.4773271083831787,2,32
19/09/2025,Donald Trump speaks at state banquet,US President Donald Trump has stood up and made a speech during the state banquet at Windsor Castle.,,2025-09-17T21:36:35.000Z,https://www.smh.com.au/lifestyle/donald-trump-speaks-at-state-banquet-20250918-p5mvzt.html?ref=rss&utm_medium=rss&utm_source=rss_lifestyle,Sydney Morning Herald,,"Donald Trump speaks at state banquet 

 US President Donald Trump has stood up and made a speech during the state banquet at Windsor Castle.",7,politics,0.451697438955307,2,32
19/09/2025,Queen Camilla appears to have awkward moment with Princess of Wales,An awkward moment between the Princess of Wales and Queen Camilla was captured during their meeting with Melania Trump.,,2025-09-17T22:16:52.000Z,https://www.smh.com.au/lifestyle/queen-camilla-appears-to-have-awkward-moment-with-princess-of-wales-20250918-p5mw0d.html?ref=rss&utm_medium=rss&utm_source=rss_lifestyle,Sydney Morning Herald,,"Queen Camilla appears to have awkward moment with Princess of Wales 

 An awkward moment between the Princess of Wales and Queen Camilla was captured during their meeting with Melania Trump.",8,politics,0.551716685295105,-1,46
19/09/2025,Moment pregnant influencer saves husband's life,"Pregnant influencer Samantha Matthews shared an interview saving her husband, Dan Matthews' life after a choking incident.",,2025-09-17T22:27:40.000Z,https://www.smh.com.au/lifestyle/moment-pregnant-influencer-saves-husbands-life-20250918-p5mw0o.html?ref=rss&utm_medium=rss&utm_source=rss_lifestyle,Sydney Morning Herald,,"Moment pregnant influencer saves husband's life 

 Pregnant influencer Samantha Matthews shared an interview saving her husband, Dan Matthews' life after a choking incident.",9,lifestyle,0.5447892546653748,0,51
